,Unnamed: 0,URL,TLD,LTS,Title,Description,DA,Discovery,keywords,domain,yesno
2958,4096,http://blog.verifirst.com/how-accurate-are-employee-criminal-background-checks,com,1,"How Accurate are Employee Criminal Background Checks?
blog.verifirst.com â€º how-accurate-are-employee-criminal-background-chec...",,35,12/28/2023 19:10,"Title: How Accurate are Employee Criminal Background Checks? Keywords: records, checks, employee, employers, information, background, employment, accurate, record, criminal, screening",verifirst.com,Yes
2959,4098,http://ebho.org/study-room/path-to-housing-inequity/,org,1,"How We Got Here: Housing Inequity
ebho.org â€º The Study Room",,35,12/28/2023 19:10,"Title: How We Got Here: Housing Inequity Keywords: california, communities, inequity, racial, area, bay, read, history, housing, discrimination, affordable",ebho.org,Yes
2961,4101,http://www.oneworldeducation.org/our-students-writing/racial-bias-in-the-criminal-justice-system/,org,1,"Racial Bias in the Criminal Justice System - One World Education
www.oneworldeducation.org â€º our-students-writing â€º racial-bias-in-the-cri...",,35,12/28/2023 19:10,"Title: Racial Bias in the Criminal Justice System Keywords: case, bias, racial, sentences, zimmerman, guilty, martin, system, white, black, criminal, justice",oneworldeducation.org,Yes
2962,4102,http://changethestory.org/day-9-housing-inequality/,org,1,"Day 9: Housing Inequality
changethestory.org â€º day-9-housing-inequality",,35,12/28/2023 19:10,"Title: Day 9: Housing Inequality â€“ United Way of the Battle Creek and Kalamazoo Region Keywords: kalamazoo, battle, inequality, racial, way, region, creek, protections, community, including, housing, discrimination, united, ordinance, day, mcghee, racism",changethestory.org,Yes
2963,4103,http://blog.verifirst.com/top-employment-background-check-blogs-topics,com,9,"Top Employment Background Check Blogs & Topics
blog.verifirst.com â€º top-employment-background-check-blogs-topics",,35,12/28/2023 19:14,"Title: Top Employment Background Check Blogs & Topics Keywords: hiring, employers, blog, background, employment, risk, posts, blogs, check, reduce, screening, topics",verifirst.com,Yes
2964,4104,http://aacriminallaw.com/applying-housing-criminal-record/,com,6,"Applying For Housing With a Criminal Record | Minnesota Lawyer
aacriminallaw.com â€º Blog â€º Criminal Conduct",,35,12/28/2023 19:14,"Title: Applying For Housing With a Criminal Record Keywords: landlord, youve, applying, background, application, housing, past, check, getting, record, criminal",aacriminallaw.com,Yes
2968,4109,http://emancipatenc.org/its-systemic-racism-dummy/,org,3,"It's systemic racism, dummy - Emancipate NC
emancipatenc.org â€º its-systemic-racism-dummy",,35,12/28/2023 19:14,"Title: Itâ€™s systemic racism, dummy Keywords: law, racist, officers, enforcement, system, systemic, tyre, black, dummy, systems, racism",emancipatenc.org,Yes
2978,4125,http://prisonwriters.com/systemic-racism-in-prison/,com,1,"Systemic Racism in Prison
prisonwriters.com â€º systemic-racism-in-prison",,35,12/28/2023 19:14,"Title: Systemic Racism in Prison Keywords: man, white, prison, systemic, system, black, nonwhite, exist, institutional, racism",prisonwriters.com,Yes
2983,4132,http://fhcmichigan.org/2016/04/hud_criminalbackground/,org,1,"New Rule Bans Landlords from Blanket Denials Based on Criminal ...
fhcmichigan.org â€º About the FHC â€º Press Release",,35,12/28/2023 19:14,"Title: New Rule Bans Landlords from Blanket Denials Based on Criminal Background Keywords: rule, blanket, landlords, bans, guidance, fhc, center, accommodation, based, background, fair, felony, housing, hud, criminal, denials",fhcmichigan.org,Yes
2988,4139,http://community.nursa.com/clinician-help/nursa-clinician-guides/getting-started-nursa-clinicians/complete-your-background-check-r68/,com,1,"Complete Your Background Check - Getting Started | Nursa Clinicians
community.nursa.com â€º ... â€º Getting Started | Nursa Clinicians",,35,12/28/2023 19:14,"Title: Complete Your Background Check Keywords: nursa, checks, complete, background, statelevel, steps, advantage, federal, check, takes",nursa.com,Yes
2994,4149,http://aacriminallaw.com/does-a-dwi-show-up-on-a-background-check-in-minnesota/,com,1,"Does A DWI Show Up On A Background Check In Minnesota?
aacriminallaw.com â€º Blog â€º Criminal Defense",,35,12/28/2023 19:14,"Title: Does A DWI Show Up On A Background Check In Minnesota? Keywords: driving, dwi, remain, conviction, background, expunged, process, does, check, record, criminal, minnesota",aacriminallaw.com,Yes
2996,4152,http://louisianalawhelp.org/issues/employment/criminal-records,org,1,"Criminal Records - Work And Employment Law | LouisianaLawHelp ...
louisianalawhelp.org â€º Legal Topics â€º Work And Employment Law",,35,12/28/2023 19:14,"Title: LouisianaLawHelp.org Keywords: documents, employee, employers, employment, employer, i9, louisianalawhelporg, united, identity, form, authorization",louisianalawhelp.org,Yes
3000,4162,http://diversity.social/race-racism-book/,social,1,"Best Books about Racism, Race, Discrimination
diversity.social â€º ... â€º Leadership â€º New Zealand â€º The United Kingdom",,35,12/28/2023 19:14,"Title: 15 Best Books about Racism, Discrimination, Black Lives Matter [2020] [2021] Keywords: 15, racial, way, best, schools, guide, book, white, discrimination, race, black, lives, 2021, 2020, matter, books, racism",diversity.social,Yes
3002,4164,http://drugtestsinbulk.com/blog/why-you-should-do-a-background-check-on-potential-employees/,com,1,"Why You Should Do A Background Check on Potential Employees
drugtestsinbulk.com â€º blog â€º why-you-should-do-a-background-check-on...",,35,12/28/2023 19:14,"Title: Why You Should Do A Background Check on Potential Employees Keywords: employees, checks, employers, information, complete, candidate, potential, ensure, employee, background, check, criminal, records",drugtestsinbulk.com,Yes
3008,4173,http://fhcmichigan.org/know-your-rights/criminal-background-arrest-record/,org,1,"Criminal Background & Arrest Record
fhcmichigan.org â€º Know Your Rights",,35,12/28/2023 19:14,"Title: Criminal Background & Arrest Record Keywords: accommodation, selection, conviction, background, fair, arrest, providers, policies, housing, record, criminal, tenant",fhcmichigan.org,Yes
3010,4176,http://fhcmichigan.org/tag/john-relman/,org,1,"Tag: John Relman - Fair Housing Center of Southeast & Mid Michigan
fhcmichigan.org â€º tag â€º john-relman",,35,12/28/2023 19:14,"Title: Tag: John Relman Keywords: law, department, conviction, tag, fair, background, exoffenders, housing, record, relman, criminal, justice, john",fhcmichigan.org,Yes
3012,4184,http://2urbangirls.com/2023/12/new-law-has-californians-with-criminal-records-quite-hopeful-theyll-finally-find-housing/,com,1,"New law has Californians with criminal records 'quite hopeful' they'll ...
2urbangirls.com â€º Local",,35,12/28/2023 19:14,"Title: New law has Californians with criminal records â€˜quite hopefulâ€™ theyâ€™ll finally find housing Keywords: law, landlords, theyll, finally, governments, crimefree, local, policies, housing, evictions, hopeful, tenants, prior, criminal, californians, records, quite",2urbangirls.com,Yes
3015,4188,http://aacriminallaw.com/dismissed-charges-still-showing-up-on-background-check-in-minnesota/,com,1,"Dismissed Charges Still Showing Up On Background Check in ...
aacriminallaw.com â€º Blog â€º Criminal Defense",,35,12/28/2023 19:14,"Title: Dismissed Charges Still Showing Up On Background Check in Minnesota Keywords: public, showing, background, employer, need, dismissed, charges, charge, check, record, records, minnesota",aacriminallaw.com,Yes
3019,4193,http://all4consolaws.org/2023/12/3-myths-about-hiring-people-with-criminal-records/,org,1,"3 Myths About Hiring People with Criminal Records - ACSOL
all4consolaws.org â€º More News",,35,12/28/2023 19:14,"Title: 3 Myths About Hiring People with Criminal Records Keywords: whats, facts, hiring, employers, square, workers, fear, need, myths, tough, criminal, records, fears",all4consolaws.org,Yes
3021,4195,http://fhcmichigan.org/tag/conviction-record/,org,1,"conviction record - Fair Housing Center of Southeast & Mid Michigan
fhcmichigan.org â€º tag â€º conviction-record",,35,12/28/2023 19:14,"Title: Tag: conviction record Keywords: law, department, conviction, tag, fair, background, exoffenders, housing, record, criminal, justice",fhcmichigan.org,Yes
